[0.        +0.j 0.0005276 +0.j 0.00105517+0.j]
[-38.01680246+0.j -12.75016521+0.j]
         2499527 function calls (2476717 primitive calls) in 11.293 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amin)
       17    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
       85    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(can_cast)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(common_type)
      185    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(cumsum)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diff)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(dot)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(fix)
       14    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(hstack)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(imag)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(iscomplexobj)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.005    0.005 <__array_function__ internals>:177(lstsq)
       42    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(outer)
        1    0.000    0.000    0.008    0.008 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyval)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(real)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
     1000    0.000    0.000    0.011    0.000 <__array_function__ internals>:177(solve)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(tile)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unique)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(vander)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     2189    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
   1316/4    0.004    0.000    1.351    0.338 <frozen importlib._bootstrap>:1022(_find_and_load)
        8    0.000    0.000    0.037    0.005 <frozen importlib._bootstrap>:1038(_gcd_import)
 1475/750    0.002    0.000    0.796    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2189    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
     1316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
     1316    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1316    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2189    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1298    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      873    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   1685/5    0.001    0.000    1.349    0.270 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     9840    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
     1287    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     2360    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:391(cached)
     3193    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
     1248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
     1116    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1248    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
1248/1245    0.002    0.000    0.283    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   1248/5    0.003    0.000    1.350    0.270 <frozen importlib._bootstrap>:664(_load_unlocked)
     1298    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     1284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
     1281    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     5156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:893(__enter__)
     5156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1284    0.007    0.000    0.106    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
   1311/4    0.003    0.000    1.351    0.338 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
     1116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
     1116    0.003    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     1116    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
  128/126    0.000    0.000    0.262    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
  128/110    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
     8952    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8952    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2232    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4464    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      118    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1770    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
1282/1281    0.003    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     4612    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1281    0.001    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1734    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      944    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
     1244    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1644    0.009    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      118    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1615    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      118    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
     1362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     2232    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1244    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     1116    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1116    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1116    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1644    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1116    0.002    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1244    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     3348    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   1116/5    0.002    0.000    1.350    0.270 <frozen importlib._bootstrap_external>:877(exec_module)
     1116    0.006    0.000    0.299    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      118    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:343(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:351(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.026    0.026 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:157(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:168(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:177(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:196(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:204(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:209(Quantize)
        1    0.000    0.000    0.000    0.000 Image.py:2844(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2853(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3392(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3407(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3418(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3429(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3441(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3452(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3561(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3597(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:453(_E)
        1    0.000    0.000    0.000    0.000 Image.py:496(Image)
        1    0.000    0.000    0.000    0.000 Image.py:85(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:89(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:328(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:358(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:590(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:601(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:673(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:722(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:85(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1089(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1100(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:120(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:134(__getattr__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:162(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:254(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:276(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:360(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:723(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      122    0.004    0.000    3.374    0.028 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(_StrongRef)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:103(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        4    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
        8    0.000    0.000    0.037    0.005 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1192(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        5    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:129(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
       47    0.000    0.000    0.005    0.000 __init__.py:1305(_add_data_doc)
        6    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       34    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1319(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:132(<listcomp>)
       19    0.000    0.000    0.000    0.000 __init__.py:134(check_shape)
       92    0.001    0.000    0.009    0.000 __init__.py:1349(_preprocess_data)
       29    0.000    0.000    0.000    0.000 __init__.py:1361(_to_unmasked_float_array)
       33    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
        5    0.000    0.000    0.000    0.000 __init__.py:1403(_clear_cache)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       34    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:1448(setLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
       57    0.000    0.000    0.000    0.000 __init__.py:154(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        6    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:165(_get_version)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        6    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
       10    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:173(check_getitem)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:182(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(__getattr__)
       28    0.000    0.000    0.000    0.000 __init__.py:1868(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:187(<lambda>)
       32    0.000    0.000    0.000    0.000 __init__.py:1879(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       47    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.007    0.007 __init__.py:195(_check_versions)
        4    0.000    0.000    0.000    0.000 __init__.py:195(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        3    0.000    0.000    0.033    0.011 __init__.py:198(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       34    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2072(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        4    0.000    0.000    0.000    0.000 __init__.py:216(<dictcomp>)
       63    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
